,index,node,importance,Unnamed: 0,symbol,weight,Type,In CGC
9,9,LCK,0.009552886880692453,57350.0,LCK,2.0,coding,Yes
17,17,EP300,0.008214943146390562,87966.0,EP300,14.0,coding,Yes
28,28,ESR1,0.005356837782011465,75970.0,ESR1,7.0,coding,Yes
32,32,AR,0.004728868012995986,84080.0,AR,7.0,coding,Yes
33,33,FOXA1,0.004508807598946218,87810.0,FOXA1,25.0,coding,Yes
40,40,LYN,0.003000745192318884,77085.0,LYN,6.0,coding,No
41,41,CREBBP,0.0029551156019195584,87048.0,CREBBP,15.0,coding,Yes
42,42,ZAP70,0.0028712523010809296,59990.0,ZAP70,3.0,coding,No
44,44,LCP2,0.0028123214306283086,83373.0,LCP2,3.0,coding,No
45,45,SP1,0.0028001352646655903,86891.0,SP1,6.0,coding,No
46,46,ERG,0.002773419675999646,75961.0,ERG,3.0,coding,Yes
47,47,E2F1,0.0027485990393084792,61168.0,E2F1,5.0,coding,No
49,49,GATA3,0.0025274923468072362,90480.0,GATA3,104.0,coding,Yes
54,54,PTPRC,0.0024250462860969176,78219.0,PTPRC,8.0,coding,Yes
58,58,FN1,0.0021908401715230214,90193.0,FN1,13.0,coding,No
64,64,COL1A1,0.0021092159550161055,75402.0,COL1A1,8.0,coding,Yes
67,67,VAV1,0.0019343014713020781,67152.0,VAV1,7.0,coding,Yes
71,71,JUN,0.0018758973534007785,90003.0,JUN,3.0,coding,Yes
72,72,SYK,0.0018714927903707706,79005.0,SYK,5.0,coding,Yes
73,73,RUNX1,0.0018637253151907636,88741.0,RUNX1,34.0,coding,Yes
76,76,STAT1,0.0017832031620030572,54437.0,STAT1,4.0,coding,No
77,77,ETS1,0.0017756677481590715,81965.0,ETS1,4.0,coding,No
79,79,EGR1,0.0016790728380710364,85351.0,EGR1,3.0,coding,No
80,80,RB1,0.0016371231785018323,80436.0,RB1,23.0,coding,Yes
82,82,CD5,0.0015537386593899008,81282.0,CD5,3.0,coding,No
