,index,node,importance,Unnamed: 0,symbol,weight,Type
1261,1295,HEYL,0.00014225751145036615,63791.0,HEYL,3.0,coding
1262,1296,DIAPH1,0.00014221428122224391,73697.0,DIAPH1,7.0,coding
1263,1297,MTMR9,0.00014221018142282027,77333.0,MTMR9,3.0,coding
1265,1299,CIRBP,0.00014139947152251204,55480.0,CIRBP,5.0,coding
1266,1300,ARHGDIA,0.00014129644629104582,15106.0,ARHGDIA,1.0,coding
1267,1301,NAE1,0.00014124089187013688,42808.0,NAE1,2.0,coding
1268,1302,MYO9A,0.00014094327179863024,85637.0,MYO9A,16.0,coding
1269,1303,GOPC,0.00014079790271236166,81682.0,GOPC,3.0,coding
1270,1304,SGK1,0.00014075412375376916,86179.0,SGK1,4.0,coding
1271,1305,IGFBP4,0.00014056934355437663,82863.0,IGFBP4,1.0,coding
1272,1306,KIAA1279,0.0001402628276942145,80791.0,KIAA1279,3.0,coding
1273,1307,CDC25C,0.00014021903134131644,88804.0,CDC25C,8.0,coding
1274,1308,PPP4C,0.00014000455789197713,35693.0,PPP4C,1.0,coding
1275,1309,HERC1,0.00013997953382181212,90198.0,HERC1,29.0,coding
1276,1310,CALR,0.00013994138528123604,61557.0,CALR,2.0,coding
1277,1311,EDNRA,0.00013980166100041735,84248.0,EDNRA,3.0,coding
1279,1313,RGL2,0.00013953941900750121,85791.0,RGL2,7.0,coding
1280,1314,HCLS1,0.00013949184756965627,71320.0,HCLS1,2.0,coding
1281,1315,POU5F1,0.00013945944769811264,66750.0,POU5F1,4.0,coding
1282,1316,ZMYND11,0.00013940716757601134,73955.0,ZMYND11,1.0,coding
1283,1317,TGFBR3,0.00013930415718138895,71119.0,TGFBR3,4.0,coding
1284,1318,TGFA,0.0001390381119437009,59226.0,TGFA,1.0,coding
1285,1319,PTP4A2,0.0001390293998799556,12582.0,PTP4A2,2.0,coding
1287,1321,LENG8,0.00013895218205676587,11096.0,LENG8,2.0,coding
1288,1322,PMEPA1,0.000138948562618943,26670.0,PMEPA1,4.0,coding
1289,1323,COL4A6,0.000138834767598701,90324.0,COL4A6,10.0,coding
1290,1324,PDHB,0.00013875323794408358,89682.0,PDHB,2.0,coding
1291,1325,TGS1,0.00013874993801068415,87788.0,TGS1,14.0,coding
1292,1326,NR1H2,0.00013862263803716423,85667.0,NR1H2,8.0,coding
1293,1327,ZNF148,0.00013861512010367868,81726.0,ZNF148,5.0,coding
1294,1328,IGFBP7,0.0001385796640253767,63443.0,IGFBP7,1.0,coding
1295,1329,ABCA1,0.00013855493324467445,74331.0,ABCA1,12.0,coding
1297,1331,NKRF,0.0001382335201920816,51564.0,NKRF,4.0,coding
1298,1332,ARFGEF2,0.0001381629115154047,83671.0,ARFGEF2,11.0,coding
1299,1334,HERC3,0.00013755068810633052,55807.0,HERC3,1.0,coding
1301,1336,APPBP2,0.00013750406094761486,70715.0,APPBP2,2.0,coding
1303,1338,IKZF1,0.00013741121765672185,37917.0,IKZF1,3.0,coding
1304,1339,CANX,0.0001373152600640459,58113.0,CANX,4.0,coding
1305,1340,RAB11FIP2,0.00013713895385549733,82354.0,RAB11FIP2,3.0,coding
1306,1341,KLF6,0.00013708659090196684,57783.0,KLF6,2.0,coding
1307,1342,MAPRE2,0.00013690761386957743,63106.0,MAPRE2,2.0,coding
1308,1343,RNF111,0.0001368943812593724,88318.0,RNF111,10.0,coding
1310,1345,PPFIBP1,0.00013673488356934186,53940.0,PPFIBP1,9.0,coding
1311,1346,TIMP3,0.00013667918608398195,83902.0,TIMP3,3.0,coding
1312,1347,HOXA1,0.00013659164033308368,64895.0,HOXA1,3.0,coding
1313,1348,ATF1,0.0001365594004581968,72181.0,ATF1,3.0,coding
1314,1349,SPEN,0.0001364983150984197,90147.0,SPEN,47.0,coding
1316,1351,RAPGEF2,0.00013622313930851282,78303.0,RAPGEF2,8.0,coding
1317,1352,TRAK1,0.00013610612108184633,81795.0,TRAK1,7.0,coding
1318,1353,TSPYL2,0.0001360858395549764,74107.0,TSPYL2,6.0,coding
1321,1356,CARD11,0.0001360194180394574,87946.0,CARD11,8.0,coding
