,k,precision,recall,f1
0,0,1.0,0.0013908205841446453,0.002777775003860795
1,1,1.0,0.0027816411682892906,0.005547844675589013
2,2,1.0,0.004172461752433936,0.00831024103176828
3,3,1.0,0.005563282336578581,0.011064995911850539
4,4,1.0,0.006954102920723227,0.013812140979379333
5,5,0.8333333333333334,0.006954102920723227,0.013793087033551045
6,6,0.8571428571428571,0.008344923504867872,0.01652890652204166
7,7,0.75,0.008344923504867872,0.01650616805514015
8,8,0.6666666666666666,0.008344923504867872,0.01648349206394754
9,9,0.6,0.008344923504867872,0.016460878291331756
10,10,0.6363636363636364,0.009735744089012517,0.01917805250895943
11,11,0.5833333333333334,0.009735744089012517,0.019151814492504308
12,12,0.6153846153846154,0.011126564673157162,0.021857888609001903
13,13,0.6428571428571429,0.012517385257301807,0.024556579174393516
14,14,0.6,0.012517385257301807,0.024523120726331053
15,15,0.625,0.013908205841446454,0.027210841764146437
16,16,0.6470588235294118,0.015299026425591099,0.029891259219261185
17,17,0.6666666666666666,0.016689847009735744,0.03256440282129112
18,18,0.6842105263157895,0.01808066759388039,0.03523030213871613
19,19,0.7,0.019471488178025034,0.03788898657997032
20,20,0.6666666666666666,0.019471488178025034,0.037837782691826166
21,21,0.6363636363636364,0.019471488178025034,0.03778671701269619
22,22,0.6086956521739131,0.019471488178025034,0.03773578898375602
23,23,0.625,0.02086230876216968,0.04037678808955987
24,24,0.6,0.02086230876216968,0.04032251569917387
25,25,0.5769230769230769,0.02086230876216968,0.040268389013220204
26,26,0.5555555555555556,0.02086230876216968,0.040214407445729065
27,27,0.5714285714285714,0.022253129346314324,0.04283794658521246
28,28,0.5862068965517241,0.02364394993045897,0.04545447092079481
29,29,0.6,0.025034770514603615,0.048064008549127395
30,30,0.5806451612903226,0.025034770514603615,0.047999920750353066
31,31,0.5625,0.025034770514603615,0.047936003631338105
32,32,0.5454545454545454,0.025034770514603615,0.0478722565111532
33,33,0.5294117647058824,0.025034770514603615,0.04780867871248636
34,34,0.5142857142857142,0.025034770514603615,0.047745269561618876
35,35,0.5277777777777778,0.02642559109874826,0.050331035010909006
36,36,0.5405405405405406,0.027816411682892908,0.05290995981721818
37,37,0.5263157894736842,0.027816411682892908,0.052840063164055096
38,38,0.5128205128205128,0.027816411682892908,0.052770350941067884
39,39,0.525,0.02920723226703755,0.05533586853255668
40,40,0.5365853658536586,0.030598052851182198,0.05789463476818551
41,41,0.5238095238095238,0.030598052851182198,0.057818555369445995
42,42,0.5116279069767442,0.030598052851182198,0.05774267566032549
43,43,0.5227272727272727,0.031988873435326845,0.060288226834671825
44,44,0.5111111111111111,0.031988873435326845,0.060209313221469996
45,45,0.5217391304347826,0.03337969401947149,0.06274498500938812
46,46,0.5106382978723404,0.03337969401947149,0.06266307019293238
47,47,0.5208333333333334,0.03477051460361613,0.06518893091001911
48,48,0.5102040816326531,0.03477051460361613,0.06510404720413088
49,49,0.5,0.03477051460361613,0.06501938426804346
50,50,0.5098039215686274,0.03616133518776078,0.06753234383898521
51,51,0.5192307692307693,0.037552155771905425,0.07003878471393175
52,52,0.5283018867924528,0.03894297635605007,0.07253873222458045
53,53,0.5185185185185185,0.03894297635605007,0.0724448894499502
54,54,0.5272727272727272,0.04033379694019471,0.07493526849705102
55,55,0.5178571428571429,0.04033379694019471,0.07483857560398628
56,56,0.5263157894736842,0.04172461752433936,0.07731945151275424
57,57,0.5344827586206896,0.043115438108484005,0.0797939416462426
58,58,0.5254237288135594,0.043115438108484005,0.07969137654084565
59,59,0.5333333333333333,0.04450625869262865,0.08215646886111734
60,60,0.5245901639344263,0.04450625869262865,0.08205113787336313
61,61,0.5161290322580645,0.04450625869262865,0.08194607662483178
62,62,0.5238095238095238,0.0458970792767733,0.08439882883772185
63,63,0.53125,0.04728789986091794,0.0868453160440965
64,64,0.5230769230769231,0.04728789986091794,0.08673454180901817
65,65,0.5151515151515151,0.04728789986091794,0.08662404980675685
66,66,0.5223880597014925,0.048678720445062586,0.08905836822214566
67,67,0.5294117647058824,0.05006954102920723,0.09148650031914535
68,68,0.5217391304347826,0.05006954102920723,0.09137039858372657
69,69,0.5285714285714286,0.05146036161335188,0.09378944540051427
70,70,0.5352112676056338,0.05285118219749652,0.09620236805347479
71,71,0.5416666666666666,0.054242002781641166,0.09860918976950514
72,72,0.547945205479452,0.055632823365785816,0.10100993365819483
73,73,0.5540540540540541,0.05702364394993046,0.10340462271256556
74,74,0.5466666666666666,0.05702364394993046,0.10327438812215459
75,75,0.5394736842105263,0.05702364394993046,0.10314448117112965
76,76,0.5454545454545454,0.0584144645340751,0.10552746343871265
77,77,0.5512820512820513,0.059805285118219746,0.1079044658312202
78,78,0.5443037974683544,0.059805285118219746,0.10776924516521261
79,79,0.5375,0.059805285118219746,0.10763436297905642
80,80,0.5308641975308642,0.059805285118219746,0.10749981800343313
81,81,0.524390243902439,0.059805285118219746,0.10736560897536296
82,82,0.5180722891566265,0.059805285118219746,0.10723173463816539
83,83,0.5238095238095238,0.061196105702364396,0.10958885376631912
84,84,0.5294117647058824,0.06258692628650904,0.11194010941902191
85,85,0.5232558139534884,0.06258692628650904,0.11180105139803416
86,86,0.5172413793103449,0.06258692628650904,0.1116623384390886
87,87,0.5227272727272727,0.06397774687065369,0.1140022840053738
88,88,0.5168539325842697,0.06397774687065369,0.1138611901073123
89,89,0.5111111111111111,0.06397774687065369,0.11372044502472194
90,90,0.5054945054945055,0.06397774687065369,0.11358004746567564
91,91,0.5108695652173914,0.06536856745479833,0.1159060873899869
92,92,0.5053763440860215,0.06536856745479833,0.11576334396951257
93,93,0.5,0.06536856745479833,0.11562095170611492
94,94,0.5052631578947369,0.06675938803894298,0.11793591176258053
95,95,0.5104166666666666,0.06815020862308763,0.12024519094017631
96,96,0.5154639175257731,0.06954102920723226,0.12254881012446898
97,97,0.5102040816326531,0.06954102920723226,0.12239880968262108
98,98,0.5050505050505051,0.06954102920723226,0.12224917599465535
99,99,0.5,0.06954102920723226,0.12209990771713393
100,100,0.49504950495049505,0.06954102920723226,0.12195100351317256
101,101,0.5,0.07093184979137691,0.12423851564557187
102,102,0.49514563106796117,0.07093184979137691,0.12408737203524377
103,103,0.49038461538461536,0.07093184979137691,0.12393659572861404
104,104,0.49523809523809526,0.07232267037552156,0.12621336985440726
105,105,0.5,0.0737134909596662,0.12848462453225445
106,106,0.4953271028037383,0.0737134909596662,0.1283290723025145
107,107,0.49074074074074076,0.0737134909596662,0.1281738962615639
108,108,0.48623853211009177,0.0737134909596662,0.1280190950463837
109,109,0.4818181818181818,0.0737134909596662,0.12786466730053175
110,110,0.4864864864864865,0.07510431154381085,0.13012025022831214
111,111,0.48214285714285715,0.07510431154381085,0.12996366569251525
112,112,0.48672566371681414,0.07649513212795549,0.132211303720022
113,113,0.4824561403508772,0.07649513212795549,0.13205258487783098
114,114,0.48695652173913045,0.07788595271210014,0.13429232819541886
115,115,0.49137931034482757,0.07927677329624479,0.136526706862623
116,116,0.48717948717948717,0.07927677329624479,0.13636339563296546
117,117,0.4915254237288136,0.08066759388038942,0.1385899608979223
118,118,0.48739495798319327,0.08066759388038942,0.1384245773239803
119,119,0.48333333333333334,0.08066759388038942,0.1382595879939737
120,120,0.48760330578512395,0.08205841446453407,0.14047594388081835
121,121,0.48360655737704916,0.08205841446453407,0.1403089077245255
122,122,0.4796747967479675,0.08205841446453407,0.1401422683328277
123,123,0.47580645161290325,0.08205841446453407,0.1399760242937366
124,124,0.472,0.08205841446453407,0.13981017420195585
125,125,0.47619047619047616,0.08344923504867872,0.1420115805641592
126,126,0.47244094488188976,0.08344923504867872,0.14184371646620803
127,127,0.4765625,0.08484005563282336,0.1440375238341418
128,128,0.4728682170542636,0.08484005563282336,0.14386766656607752
129,129,0.46923076923076923,0.08484005563282336,0.14369820943691447
130,130,0.46564885496183206,0.08484005563282336,0.14352915103438366
131,131,0.4621212121212121,0.08484005563282336,0.1433604899528543
132,132,0.45864661654135336,0.08484005563282336,0.14319222479329483
133,133,0.4552238805970149,0.08484005563282336,0.14302435416323434
134,134,0.45925925925925926,0.08623087621696801,0.14519879705142336
135,135,0.4632352941176471,0.08762169680111266,0.14736815352738283
136,136,0.46715328467153283,0.0890125173852573,0.1495324414173102
137,137,0.463768115942029,0.0890125173852573,0.14935795617715997
138,138,0.4676258992805755,0.09040333796940195,0.1515148799973351
139,139,0.4714285714285714,0.0917941585535466,0.15366678187994737
140,140,0.46808510638297873,0.0917941585535466,0.15348809794802887
141,141,0.4647887323943662,0.0917941585535466,0.15330982908128443
142,142,0.46153846153846156,0.0917941585535466,0.15313197383515867
143,143,0.4583333333333333,0.0917941585535466,0.15295453077179152
144,144,0.45517241379310347,0.0917941585535466,0.15277749845997998
145,145,0.4589041095890411,0.09318497913769123,0.15491301420345518
146,146,0.4557823129251701,0.09318497913769123,0.15473412922142774
147,147,0.4527027027027027,0.09318497913769123,0.15455565689585699
148,148,0.4563758389261745,0.09457579972183588,0.15668174326592846
149,149,0.4533333333333333,0.09457579972183588,0.15650144048804648
150,150,0.45695364238410596,0.09596662030598054,0.15862040277763603
151,151,0.45394736842105265,0.09596662030598054,0.15843828823435258
152,152,0.45751633986928103,0.09735744089012517,0.16055016937020836
153,153,0.461038961038961,0.09874826147426982,0.16265721229397595
154,154,0.45806451612903226,0.09874826147426982,0.16247110409333493
155,155,0.4551282051282051,0.09874826147426982,0.16228542128640655
156,156,0.45222929936305734,0.09874826147426982,0.16210016241635097
157,157,0.44936708860759494,0.09874826147426982,0.16191532603297304
158,158,0.44654088050314467,0.09874826147426982,0.16173091069268436
159,159,0.44375,0.09874826147426982,0.16154691495846596
160,160,0.4409937888198758,0.09874826147426982,0.16136333739983078
161,161,0.4444444444444444,0.10013908205841446,0.16345032415237012
162,162,0.44171779141104295,0.10013908205841446,0.16326500481593645
163,163,0.43902439024390244,0.10013908205841446,0.16308010523226235
164,164,0.44242424242424244,0.10152990264255911,0.16515806741574213
165,165,0.4397590361445783,0.10152990264255911,0.16497144663722557
166,166,0.437125748502994,0.10152990264255911,0.16478524712794182
167,167,0.43452380952380953,0.10152990264255911,0.16459946746306814
168,168,0.4378698224852071,0.10292072322670376,0.1666663584764444
169,169,0.43529411764705883,0.10292072322670376,0.16647888078445874
170,170,0.4327485380116959,0.10292072322670376,0.1662918243939642
171,171,0.43023255813953487,0.10292072322670376,0.1661051878864262
172,172,0.4277456647398844,0.10292072322670376,0.1659189698496712
173,173,0.42528735632183906,0.10292072322670376,0.16573316887785136
174,174,0.4228571428571429,0.10292072322670376,0.16554778357140898
175,175,0.42045454545454547,0.10292072322670376,0.16536281253704138
176,176,0.4180790960451977,0.10292072322670376,0.16517825438766612
177,177,0.4157303370786517,0.10292072322670376,0.16499410774238607
178,178,0.4134078212290503,0.10292072322670376,0.16481037122645537
179,179,0.4111111111111111,0.10292072322670376,0.16462704347124482
180,180,0.4088397790055249,0.10292072322670376,0.1644441231142081
181,181,0.41208791208791207,0.1043115438108484,0.16648136462569865
182,182,0.41530054644808745,0.10570236439499305,0.16851408897510964
183,183,0.41847826086956524,0.1070931849791377,0.17054231116961358
184,184,0.41621621621621624,0.1070931849791377,0.1703536567694567
185,185,0.41397849462365593,0.1070931849791377,0.17016541928819426
186,186,0.41711229946524064,0.10848400556328233,0.17218510286404545
187,187,0.42021276595744683,0.10987482614742698,0.1742003328959374
188,188,0.42328042328042326,0.11126564673157163,0.17621112409821224
189,189,0.42105263157894735,0.11126564673157163,0.17601727109846804
190,190,0.418848167539267,0.11126564673157163,0.17582384415229818
191,191,0.4166666666666667,0.11126564673157163,0.17563084185666222
192,192,0.41450777202072536,0.11126564673157163,0.17543826281467356
193,193,0.41237113402061853,0.11126564673157163,0.17524610563556553
194,194,0.41025641025641024,0.11126564673157163,0.17505436893465812
195,195,0.40816326530612246,0.11126564673157163,0.17486305133332453
196,196,0.40609137055837563,0.11126564673157163,0.1746721514589581
197,197,0.40404040404040403,0.11126564673157163,0.17448166794493986
198,198,0.4020100502512563,0.11126564673157163,0.17429159943060543
199,199,0.4,0.11126564673157163,0.1741019445612129
