gene
WNT2
CASKIN1
DLGAP3
ALMS1
GRIK4
NEB
ARHGEF15
FOXO3
DPYSL4
SUGP2
HSD11B1L
TCIRG1
MYCBPAP
CCDC180
UNC5C
CPNE6
GLP1R
GREB1
LRFN1
SCAF1
NBPF3
ARHGEF17
CACNA1C
CDH3
SLC25A28
CEP131
SMARCA4
TRPM2
PCDH19
NECTIN1
GRHL3
LZTS3
TCHH
CDC27
ZNF324
SLC27A6
MYO3B
MAB21L4
NGFR
KMT2C
FAM193B
PRPF8
AP3B2
RERE
COL5A1
WDR25
SLC22A14
SCN4A
CCN4
MAP3K19
PTPRU
MUC16
LRP2BP
GDAP1L1
VWA2
ATF6B
HDLBP
NPAS2
TMTC3
ZSCAN20
ZNF521
REC8
GRK3
SCN8A
AKAP13
MAP7D2
ASCC3
DDHD2
SLITRK3
CENPF
ABCA7
GABRD
HLCS
ABCA3
HCN4
GRIA1
TTC8
VAV1
CNTN2
DCTN1
MYO1F
CIITA
SLCO2B1
POLD1
INPP5F
NCOA6
LRRN4
MYBPC2
SLC9A3
DOCK10
NSD1
PTPN21
ARHGEF10L
ITGAX
CUL7
ASB10
GPA33
PDGFRA
CRACDL
BRD4
LYST
LPA
RXRG
ARMCX1
CDH7
METTL25
GPR101
NWD1
SALL3
CLP1
SLC25A12
JCAD
CHIT1
TNS3
THBS2
JPH3
MUC4
PANK4
STK11IP
OTUD4
TRAF3
IGSF9B
ELOA3BP
MFSD4B
XKR4
KIAA1217
LRFN3
FXR2
PLCB4
PLEC
NLRP4
ITGA5
GPR83
C1orf116
DNAH2
ZNF629
TLE3
PCDHA6
MEN1
AHI1
APBA2
DPP4
ATP1A2
MAP3K5
BICRA
DNAH7
TMEM132A
ZHX3
LAMA3
TOX3
WDR27
RTL5
DSCAML1
PLCL1
DAPK1
SMARCAD1
CHRM1
EMC1
KCNMA1
PUS3
CAMTA1
PRKDC
FMO2
DMBX1
RNF43
OR10H1
ZFHX3
DGKQ
SLC6A5
ADGRA2
REXO1
RADIL
CASC3
AKR7L
NEU2
ZC3H13
PHKA2
MAP2
NGRN
CNTN1
CSMD1
ERC1
SLC6A12
ADIPOR1
CTTNBP2
DEPDC5
IGDCC3
PCDHB7
ROR2
HRNR
TBC1D15
CAMSAP1
ANK1
GGA1
ABHD8
PTCD1
IL17RD
LRRC8A
ITGA2
L3MBTL2
PLA2G7
THSD4
SLC6A9
LLGL2
VWF
DHRS3
NOP10
ATF7IP
COL4A1
CBX2
JAG2
ELMOD2
ROBO1
PARD3
ADCY9
TRIM63
CFAP52
MYO7A
CCDC8
PRRC2A
AP3D1
RET
TRIM56
TAF1C
ZBTB7A
GPR4
CBL
SPTBN4
ZNF425
BAP1
KCNT1
MYOF
MATN4
TECTA
PVRIG
MATK
STON1
FBXO46
E2F7
FRAS1
ADAD2
CNTROB
NUP210
PSD4
KL
CCAR1
MYH9
KMT2D
ZNF546
KIAA1958
GRIK3
MACF1
SLC4A2
PDE6B
BEND3
GSR
FOXP2
TRIO
PI4K2A
PPP6R2
THSD1
TTBK1
HSPG2
ANKRD50
AGAP2
CDH18
PPL
ZNF423
IRAG1
CSMD2
CFAP43
RBM22
TTC37
CNTNAP5
ZSCAN10
VPS72
DUSP11
MERTK
NCKAP5L
COL22A1
RYR2
SHROOM1
EFNA4
NOTUM
TKFC
FNDC1
CDCP2
FMNL1
KIF4B
TNXB
PPFIBP2
SF3B1
SLC34A3
ZMAT1
SEC16A
UNC5CL
CSN1S1
PCSK7
BICD1
METTL25B
TMEM45B
PRAG1
LARP1
KIR2DL4
PPFIA1
SBF1
MAN2B1
ATP10D
TLN2
SLC19A1
LRP2
GIT1
ZNF503
FOXM1
IMP4
EGF
TG
SMPD3
ARHGEF11
ELAPOR2
GRHL2
HTT
FBXL18
TAS1R2
LRP8
FAT2
AGRN
TOMM40
AOX1
DCDC1
SYTL3
KPNB1
MLST8
ATP2C2
FBXW7
SPG7
EPPK1
PLAAT5
PLCD4
CCER1
CYP27B1
PDZD2
XAB2
LPCAT1
FGFR4
HIVEP3
DNAH17
PCDHGA6
TBL2
TTN
HUWE1
MTMR14
KCNA5
CACFD1
ULK1
ADCY5
AGAP1
SLC16A2
KIAA0586
PPEF1
SPAG5
MED25
GIP
SLC18B1
MAN1A1
PLA2G6
BUB1
SKOR1
XPO7
CELSR1
GNAQ
KLHL26
PIGU
CLCA1
ERAP2
WDR59
OBSCN
CACHD1
RBL1
KAT2A
DCAF12
P2RY2
HDAC5
LTBP4
CD93
THBS3
ASMTL
CFAP61
CHST15
UTRN
DIDO1
CACNA1D
DTNA
CHMP7
UBR2
SIPA1L3
FRMPD1
TMTC1
COG2
B4GALNT2
JPH2
PWWP3A
PLEKHM3
CACNA2D1
GALNT2
NOTCH2
SCN2A
ALDH1A3
MLC1
YAP1
ZCCHC2
ERCC6L
KRI1
CLEC18B
